Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0121QQ1,2019.03,14095,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121ZZ9,2000.03,83028,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2001.03,87640,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2002.03,94054,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2003.03,98500,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2004.03,105079,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2005.03,112073,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2006.03,118170,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2007.03,123814,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2008.03,134487,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2009.03,135775,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2010.03,139515,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2011.03,144951,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2012.03,151051,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2013.03,153803,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2014.03,163594,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2015.03,171134,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2016.03,180759,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2017.03,192164,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2018.03,206385,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZ9,2019.03,217733,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Total All Industries,,
RNAA.SG01NAC34B0121ZZA,2000.03,6214,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2001.03,6441,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2002.03,6852,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2003.03,7507,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2004.03,8040,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2005.03,8684,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2006.03,9213,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2007.03,10313,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2008.03,10995,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2009.03,10872,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2010.03,10988,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2011.03,12326,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2012.03,13793,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2013.03,14209,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2014.03,14701,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2015.03,15512,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2016.03,16604,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0121ZZA,2017.03,18201,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"GST on Production, Import Duties and Other Taxes",,
